zone
ZSTEI3, 0, 795.605, 776.226, -20.0, 1259.51, 1014.76, 350.0, 1, STEIN
Znorm, 0, -1313.85, 374.04, -20.0, -855.416, 641.471, 350.0, 1, NORMY
ZSOHAN1, 0, 266.523, 1341.68, -20.0, 701.523, 1516.68, 350.0, 1, STHBO
ZBOULE2, 0, 220.618, 1818.99, -20.0, 781.36, 2206.99, 350.0, 1, BOULE
Zcgci2, 0, -659.208, -481.39, -20.0, -304.118, -346.624, 350.0, 1, CASGC
Zcgci1, 0, -475.44, -715.671, -20.0, -304.118, -481.39, 350.0, 1, CASGC
Zchisl1, 0, 387.346, 823.624, -20.0, 723.39, 1140.18, 350.0, 1, CHISL
Zchisl2, 0, 438.349, 578.351, -20.0, 706.969, 823.624, 350.0, 1, CHISL
Zmdw1, 0, -643.152, 609.361, -20.0, -381.711, 745.696, 350.0, 1, MIDPW
Zvarh, 0, -702.852, 906.696, -20.0, -381.711, 1191.31, 350.0, 1, VASIH
Zmidpa, 0, -381.711, 609.361, -20.0, -31.3146, 1191.31, 350.0, 1, MIDPA
Znhol1, 0, -690.252, 1191.31, -20.0, -273.709, 1305.98, 350.0, 1, NOHOL
Zehol1, 0, -273.709, 1191.31, -20.0, 153.233, 1407.38, 350.0, 1, EAHOL
Znort1, 0, -606.125, 1407.38, -20.0, 58.9189, 1610.15, 350.0, 1, NORWO
Zmeat, 0, -883.699, -139.945, -20.0, -381.724, 148.235, 350.0, 1, TMEQU
Zwestm, 0, -796.099, 148.235, -20.0, -381.724, 361.597, 346.9, 1, WESMI
Zpurg1, 0, -643.152, 509.597, -20.0, -381.711, 609.361, 350.0, 1, PUGAT
Zeast, 0, -31.3146, -139.945, -20.0, 108.875, 148.235, 350.0, 1, EASON
Zpres, 0, 108.875, -139.945, -20.0, 343.176, 148.235, 350.0, 1, THPRES
Zhat, 0, -31.3146, 369.954, -20.0, 267.099, 609.361, 350.0, 1, HATGA
Zlance, 0, -31.3146, 148.235, -20.0, 267.099, 369.954, 30.0, 1, LANCE
Zsuff1, 0, -483.208, -222.048, -20.0, -31.3146, -139.945, 350.0, 1, SUFFO
Zital, 0, -254.508, -321.624, -20.0, -76.2142, -222.048, 350.0, 1, LITAL
Zcgci4, 0, -691.208, -346.624, -20.0, -483.208, -139.945, 350.0, 1, CASGC
Zsuff2, 0, -483.208, -346.624, -20.0, -254.508, -222.048, 350.0, 1, SUFFO
ZCity1, 0, -254.508, -346.624, -20.0, -76.2143, -321.624, 350.0, 1, CITH
ZCity2, 0, -304.118, -602.863, -20.0, -76.2143, -346.624, 350.0, 1, CITH
Zchin, 0, -76.2143, -505.423, -20.0, 212.278, -298.546, 350.0, 1, CHITO
Zlowe1, 0, -76.2142, -298.546, -20.0, 212.278, -222.048, 350.0, 1, LOWEA
Zlowe2, 0, -31.3146, -222.048, -20.0, 212.278, -139.945, 350.0, 1, LOWEA
Zfisn, 0, 212.278, -303.904, -20.0, 394.167, -139.945, 350.0, 1, FISSN
Zfiss1, 0, 212.278, -505.423, -20.0, 401.667, -303.904, 350.0, 1, FISSO
Zfiss2, 0, 401.667, -505.423, -20.0, 490.904, -445.003, 350.0, 1, FISSO
Zexc1, 0, -304.118, -773.537, -20.0, -76.2143, -602.863, 350.0, 1, THXCH
Zexc2, 0, -76.2143, -580.551, -20.0, 218.68, -505.423, 350.0, 1, THXCH
Zexc3, 0, -76.2143, -690.606, -20.0, 268.584, -580.551, 350.0, 1, THXCH
Zexc4, 0, -76.2143, -773.537, -20.0, 123.786, -690.606, 350.0, 1, THXCH
Zcgar3, 0, 123.786, -773.537, -20.0, 304.217, -690.606, 350.0, 1, CASGR
Zfiss3, 0, 218.68, -580.551, -20.0, 490.904, -505.423, 350.0, 1, FISSO
Zfiss4, 0, 268.584, -690.606, -20.0, 490.904, -580.551, 350.0, 1, FISSO
Zfiss5, 0, 304.217, -790.77, -20.0, 434.896, -690.606, 350.0, 1, FISSO
Zcois1, 0, 490.904, -407.903, -20.0, 567.091, -368.603, 30.0, 1, COISL
Zcois4, 0, 348.619, 34.5953, -20.0, 548.856, 148.235, 350.0, 1, COISL
Zcois5, 0, 345.646, 148.235, -20.0, 579.713, 480.058, 30.0, 1, COISL
Zlanc1, 0, -31.3146, 906.696, -20.0, 214.634, 1075.61, 350.0, 1, LANCA
Zmide, 0, -31.3146, 609.361, -20.0, 211.533, 906.696, 350.0, 1, MIDPE
Zleft1, 0, -1454.47, 1147.54, -20.0, -738.262, 1417.7, 350.0, 1, LEFWO
ZSTEI2, 0, 1022.31, 1014.76, -20.0, 1361.46, 1185.08, 350.0, 1, STEIN
ZSTEI11, 0, 1361.46, 1014.76, -20.0, 1452.01, 1115.06, 350.0, 1, STEIN
Zcois3, 0, 364.765, -36.926, -20.0, 566.461, 34.5953, 350.0, 1, COISL
Zcois8, 0, 406.158, -133.745, -20.0, 570.314, -36.926, 350.0, 1, COISL
ZEHOK9, 0, 595.54, -5.14662, -20.0, 720.266, 101.967, 350.0, 1, ESHOO
ZBOAB3, 0, 660.374, 101.967, -20.0, 720.266, 226.353, 30.0, 1, BOAB
ZLBAY2, 0, 1443.64, 1511.74, -20.0, 1644.07, 1887.14, 350.0, 1, LTBAY
ZLBAY1, 0, 1443.64, 1887.14, -20.0, 1549.29, 1980.9, 350.0, 1, LTBAY
ZINDUS5, 0, 1443.64, 1338.76, -20.0, 1483.64, 1511.74, 350.0, 1, INSTI
ZLBAY3, 0, 1483.64, 1467.22, -20.0, 1601.91, 1511.74, 350.0, 1, LTBAY
ZHap1, 0, -833.596, -779.497, -20.0, -490.549, -648.254, 350.0, 1, HAPIN
ZHap2, 0, -813.427, -910.74, -20.0, -436.682, -779.497, 350.0, 1, HAPIN
ZHap3, 0, -783.242, -1086.35, -20.0, -377.497, -910.606, 350.0, 1, HAPIN
Zlanc2, 0, -31.3146, 1075.61, -20.0, 233.733, 1191.31, 350.0, 1, LANCA
Zehol2, 0, 153.233, 1191.31, -20.0, 224.42, 1298.1, 350.0, 1, EAHOL
Znort2, 0, -510.167, 1610.15, -20.0, -165.606, 1870.54, 350.0, 1, NORWO
Znort3, 0, -165.606, 1610.15, -20.0, 9.72626, 1754.75, 350.0, 1, NORWO
Znhol2, 0, -634.125, 1305.98, -20.0, -273.709, 1407.38, 350.0, 1, NOHOL
Zmdw2, 0, -679.219, 745.696, -20.0, -381.711, 837.076, 350.0, 1, MIDPW
Zmdw3, 0, -702.852, 837.076, -20.0, -381.711, 906.696, 350.0, 1, MIDPW
Zpurg2, 0, -778.416, 438.883, -20.0, -381.711, 509.597, 350.0, 1, PUGAT
Zpurg3, 0, -751.416, 361.597, -20.0, -381.724, 438.883, 350.0, 1, PUGAT
Zald2, 0, -1481.63, 882.454, -20.0, -745.72, 1147.54, 350.0, 1, ALDCI
Zald4, 0, -1380.25, 641.471, -20.0, -745.72, 882.454, 350.0, 1, ALDCI
Zact1, 0, -2023.89, 374.04, -20.0, -1313.85, 641.471, 350.0, 1, ACTRR
Zact2, 0, -2023.89, 203.392, -20.0, -1383.78, 374.04, 350.0, 1, ACTRR
Zport, 0, -1383.78, 203.392, -20.0, -897.531, 374.04, 350.0, 1, PORTU
Ztudo2, 0, -2281.2, -234.742, -20.0, -2023.89, 289.462, 350.0, 1, TUDOR
Zacti, 0, -2281.2, -839.742, -20.0, -933.339, -234.742, 350.0, 1, ACTIP
Ztri, 0, -381.724, -139.945, -20.0, -31.3146, 148.235, 350.0, 1, THTRI
ZRHIL3, 0, 826.52, -20.0898, -20.0, 899.995, 33.9341, 350.0, 1, ROTTH
ZRHIL7, 0, 861.788, -76.398, -20.0, 899.995, -68.986, 350.0, 1, ROTTH
ZRHIL8, 0, 882.172, -82.4202, -20.0, 899.995, -76.398, 350.0, 1, ROTTH
ZRHIL9, 0, 890.511, -89.8322, -20.0, 899.995, -82.4202, 350.0, 1, ROTTH
ZRHIL5, 0, 837.984, -49.6839, -20.0, 899.995, -41.0366, 350.0, 1, ROTTH
ZEHOK8, 0, 720.266, -20.0898, -20.0, 826.52, 33.9341, 350.0, 1, ESHOO
